Province,Municipality,Barangay,2020 Population,brgy_code
National Capital Region,"TONDO I/II, Manila",Barangay 1,2.995,PH133901001
National Capital Region,"TONDO I/II, Manila",Barangay 2,1.887,PH133901002
National Capital Region,"TONDO I/II, Manila",Barangay 3,1.341,PH133901003
National Capital Region,"TONDO I/II, Manila",Barangay 4,1.691,PH133901004
National Capital Region,"TONDO I/II, Manila",Barangay 5,1.288,PH133901005
National Capital Region,"TONDO I/II, Manila",Barangay 6,0.771,PH133901006
National Capital Region,"TONDO I/II, Manila",Barangay 7,1.56,PH133901007
National Capital Region,"TONDO I/II, Manila",Barangay 8,0.147,PH133901008
National Capital Region,"TONDO I/II, Manila",Barangay 9,0.447,PH133901009
National Capital Region,"TONDO I/II, Manila",Barangay 10,0.16,PH133901010
National Capital Region,"TONDO I/II, Manila",Barangay 11,2.758,PH133901011
National Capital Region,"TONDO I/II, Manila",Barangay 12,2.137,PH133901012
National Capital Region,"TONDO I/II, Manila",Barangay 13,2.371,PH133901013
National Capital Region,"TONDO I/II, Manila",Barangay 14,2.07,PH133901014
National Capital Region,"TONDO I/II, Manila",Barangay 15,1.119,PH133901015
National Capital Region,"TONDO I/II, Manila",Barangay 16,1.477,PH133901016
National Capital Region,"TONDO I/II, Manila",Barangay 17,1.176,PH133901017
National Capital Region,"TONDO I/II, Manila",Barangay 18,1.982,PH133901018
National Capital Region,"TONDO I/II, Manila",Barangay 19,2.272,PH133901019
National Capital Region,"TONDO I/II, Manila",Barangay 20,45.772,PH133901020
National Capital Region,"TONDO I/II, Manila",Barangay 25,2.545,PH133901025
National Capital Region,"TONDO I/II, Manila",Barangay 26,2.555,PH133901026
National Capital Region,"TONDO I/II, Manila",Barangay 28,2.787,PH133901028
National Capital Region,"TONDO I/II, Manila",Barangay 29,4.406,PH133901029
National Capital Region,"TONDO I/II, Manila",Barangay 30,0.166,PH133901030
National Capital Region,"TONDO I/II, Manila",Barangay 31,2.881,PH133901031
National Capital Region,"TONDO I/II, Manila",Barangay 32,2.219,PH133901032
National Capital Region,"TONDO I/II, Manila",Barangay 33,4.082,PH133901033
National Capital Region,"TONDO I/II, Manila",Barangay 34,1.854,PH133901034
National Capital Region,"TONDO I/II, Manila",Barangay 35,2.265,PH133901035
National Capital Region,"TONDO I/II, Manila",Barangay 36,2.231,PH133901036
National Capital Region,"TONDO I/II, Manila",Barangay 37,2.057,PH133901037
National Capital Region,"TONDO I/II, Manila",Barangay 38,2.87,PH133901038
National Capital Region,"TONDO I/II, Manila",Barangay 39,2.324,PH133901039
National Capital Region,"TONDO I/II, Manila",Barangay 41,3.825,PH133901041
National Capital Region,"TONDO I/II, Manila",Barangay 42,2.142,PH133901042
National Capital Region,"TONDO I/II, Manila",Barangay 43,3.362,PH133901043
National Capital Region,"TONDO I/II, Manila",Barangay 44,0.8,PH133901044
National Capital Region,"TONDO I/II, Manila",Barangay 45,2.264,PH133901045
National Capital Region,"TONDO I/II, Manila",Barangay 46,2.088,PH133901046
National Capital Region,"TONDO I/II, Manila",Barangay 47,1.123,PH133901047
National Capital Region,"TONDO I/II, Manila",Barangay 48,4.07,PH133901048
National Capital Region,"TONDO I/II, Manila",Barangay 49,2.119,PH133901049
National Capital Region,"TONDO I/II, Manila",Barangay 50,4.217,PH133901050
National Capital Region,"TONDO I/II, Manila",Barangay 51,2.58,PH133901051
National Capital Region,"TONDO I/II, Manila",Barangay 52,2.732,PH133901052
National Capital Region,"TONDO I/II, Manila",Barangay 53,2.916,PH133901053
National Capital Region,"TONDO I/II, Manila",Barangay 54,1.648,PH133901054
National Capital Region,"TONDO I/II, Manila",Barangay 55,2.492,PH133901055
National Capital Region,"TONDO I/II, Manila",Barangay 56,3.457,PH133901056
National Capital Region,"TONDO I/II, Manila",Barangay 57,0.882,PH133901057
National Capital Region,"TONDO I/II, Manila",Barangay 58,3.719,PH133901058
National Capital Region,"TONDO I/II, Manila",Barangay 59,1.112,PH133901059
National Capital Region,"TONDO I/II, Manila",Barangay 60,4.503,PH133901060
National Capital Region,"TONDO I/II, Manila",Barangay 61,1.022,PH133901061
National Capital Region,"TONDO I/II, Manila",Barangay 62,1.967,PH133901062
National Capital Region,"TONDO I/II, Manila",Barangay 63,1.448,PH133901063
National Capital Region,"TONDO I/II, Manila",Barangay 64,0.495,PH133901064
National Capital Region,"TONDO I/II, Manila",Barangay 65,1.631,PH133901065
National Capital Region,"TONDO I/II, Manila",Barangay 66,2.956,PH133901066
National Capital Region,"TONDO I/II, Manila",Barangay 67,4.083,PH133901067
National Capital Region,"TONDO I/II, Manila",Barangay 68,1.115,PH133901068
National Capital Region,"TONDO I/II, Manila",Barangay 69,1.968,PH133901069
National Capital Region,"TONDO I/II, Manila",Barangay 70,2.344,PH133901070
National Capital Region,"TONDO I/II, Manila",Barangay 71,3.417,PH133901071
National Capital Region,"TONDO I/II, Manila",Barangay 72,3.233,PH133901072
National Capital Region,"TONDO I/II, Manila",Barangay 73,2.478,PH133901073
National Capital Region,"TONDO I/II, Manila",Barangay 74,1.039,PH133901074
National Capital Region,"TONDO I/II, Manila",Barangay 75,1.35,PH133901075
National Capital Region,"TONDO I/II, Manila",Barangay 76,1.844,PH133901076
National Capital Region,"TONDO I/II, Manila",Barangay 77,1.372,PH133901077
National Capital Region,"TONDO I/II, Manila",Barangay 78,1.221,PH133901078
National Capital Region,"TONDO I/II, Manila",Barangay 79,1.52,PH133901079
National Capital Region,"TONDO I/II, Manila",Barangay 80,2.553,PH133901080
National Capital Region,"TONDO I/II, Manila",Barangay 81,1.815,PH133901081
National Capital Region,"TONDO I/II, Manila",Barangay 82,2.642,PH133901082
National Capital Region,"TONDO I/II, Manila",Barangay 83,1.473,PH133901083
National Capital Region,"TONDO I/II, Manila",Barangay 84,1.141,PH133901084
National Capital Region,"TONDO I/II, Manila",Barangay 85,4.032,PH133901085
National Capital Region,"TONDO I/II, Manila",Barangay 86,1.415,PH133901086
National Capital Region,"TONDO I/II, Manila",Barangay 87,1.633,PH133901087
National Capital Region,"TONDO I/II, Manila",Barangay 88,1.096,PH133901088
National Capital Region,"TONDO I/II, Manila",Barangay 89,0.72,PH133901089
National Capital Region,"TONDO I/II, Manila",Barangay 90,0.63,PH133901090
National Capital Region,"TONDO I/II, Manila",Barangay 91,4.552,PH133901091
National Capital Region,"TONDO I/II, Manila",Barangay 92,2.639,PH133901092
National Capital Region,"TONDO I/II, Manila",Barangay 93,3.96,PH133901093
National Capital Region,"TONDO I/II, Manila",Barangay 94,2.178,PH133901094
National Capital Region,"TONDO I/II, Manila",Barangay 95,5.543,PH133901095
National Capital Region,"TONDO I/II, Manila",Barangay 96,2.1,PH133901096
National Capital Region,"TONDO I/II, Manila",Barangay 97,3.634,PH133901097
National Capital Region,"TONDO I/II, Manila",Barangay 98,1.899,PH133901098
National Capital Region,"TONDO I/II, Manila",Barangay 99,6.31,PH133901099
National Capital Region,"TONDO I/II, Manila",Barangay 100,2.222,PH133901100
National Capital Region,"TONDO I/II, Manila",Barangay 101,15.358,PH133901101
National Capital Region,"TONDO I/II, Manila",Barangay 102,4.157,PH133901102
National Capital Region,"TONDO I/II, Manila",Barangay 103,4.772,PH133901103
National Capital Region,"TONDO I/II, Manila",Barangay 104,5.741,PH133901104
National Capital Region,"TONDO I/II, Manila",Barangay 105,24.971,PH133901105
National Capital Region,"TONDO I/II, Manila",Barangay 106,2.513,PH133901106
National Capital Region,"TONDO I/II, Manila",Barangay 107,7.003,PH133901107
National Capital Region,"TONDO I/II, Manila",Barangay 108,5.391,PH133901108
National Capital Region,"TONDO I/II, Manila",Barangay 109,3.254,PH133901109
National Capital Region,"TONDO I/II, Manila",Barangay 110,2.677,PH133901110
National Capital Region,"TONDO I/II, Manila",Barangay 111,2.661,PH133901111
National Capital Region,"TONDO I/II, Manila",Barangay 112,5.593,PH133901112
National Capital Region,"TONDO I/II, Manila",Barangay 116,5.943,PH133901116
National Capital Region,"TONDO I/II, Manila",Barangay 117,4.16,PH133901117
National Capital Region,"TONDO I/II, Manila",Barangay 118,10.84,PH133901118
National Capital Region,"TONDO I/II, Manila",Barangay 119,2.345,PH133901119
National Capital Region,"TONDO I/II, Manila",Barangay 120,3.873,PH133901120
National Capital Region,"TONDO I/II, Manila",Barangay 121,4.511,PH133901121
National Capital Region,"TONDO I/II, Manila",Barangay 122,3.824,PH133901122
National Capital Region,"TONDO I/II, Manila",Barangay 123,8.66,PH133901123
National Capital Region,"TONDO I/II, Manila",Barangay 124,0.159,PH133901124
National Capital Region,"TONDO I/II, Manila",Barangay 125,4.51,PH133901125
National Capital Region,"TONDO I/II, Manila",Barangay 126,1.162,PH133901126
National Capital Region,"TONDO I/II, Manila",Barangay 127,0.565,PH133901127
National Capital Region,"TONDO I/II, Manila",Barangay 128,23.702,PH133901128
National Capital Region,"TONDO I/II, Manila",Barangay 129,5.716,PH133901129
National Capital Region,"TONDO I/II, Manila",Barangay 130,1.758,PH133901130
National Capital Region,"TONDO I/II, Manila",Barangay 131,1.621,PH133901131
National Capital Region,"TONDO I/II, Manila",Barangay 132,0.925,PH133901132
National Capital Region,"TONDO I/II, Manila",Barangay 133,2.115,PH133901133
National Capital Region,"TONDO I/II, Manila",Barangay 134,1.058,PH133901134
National Capital Region,"TONDO I/II, Manila",Barangay 135,1.935,PH133901135
National Capital Region,"TONDO I/II, Manila",Barangay 136,1.197,PH133901136
National Capital Region,"TONDO I/II, Manila",Barangay 137,0.911,PH133901137
National Capital Region,"TONDO I/II, Manila",Barangay 138,2.939,PH133901138
National Capital Region,"TONDO I/II, Manila",Barangay 139,0.371,PH133901139
National Capital Region,"TONDO I/II, Manila",Barangay 140,0.543,PH133901140
National Capital Region,"TONDO I/II, Manila",Barangay 141,0.529,PH133901141
National Capital Region,"TONDO I/II, Manila",Barangay 142,1.71,PH133901142
National Capital Region,"TONDO I/II, Manila",Barangay 143,1.401,PH133901143
National Capital Region,"TONDO I/II, Manila",Barangay 144,0.88,PH133901144
National Capital Region,"TONDO I/II, Manila",Barangay 145,1.029,PH133901145
National Capital Region,"TONDO I/II, Manila",Barangay 146,2.895,PH133901146
National Capital Region,"TONDO I/II, Manila",Barangay 147,2.275,PH133901147
National Capital Region,"TONDO I/II, Manila",Barangay 148,2.333,PH133901148
National Capital Region,"TONDO I/II, Manila",Barangay 149,1.554,PH133901149
National Capital Region,"TONDO I/II, Manila",Barangay 150,2.277,PH133901150
National Capital Region,"TONDO I/II, Manila",Barangay 151,1.639,PH133901151
National Capital Region,"TONDO I/II, Manila",Barangay 152,6.218,PH133901152
National Capital Region,"TONDO I/II, Manila",Barangay 153,2.051,PH133901153
National Capital Region,"TONDO I/II, Manila",Barangay 154,0.948,PH133901154
National Capital Region,"TONDO I/II, Manila",Barangay 155,3.257,PH133901155
National Capital Region,"TONDO I/II, Manila",Barangay 156,1.615,PH133901156
National Capital Region,"TONDO I/II, Manila",Barangay 157,1.505,PH133901157
National Capital Region,"TONDO I/II, Manila",Barangay 158,1.934,PH133901158
National Capital Region,"TONDO I/II, Manila",Barangay 159,1.558,PH133901159
National Capital Region,"TONDO I/II, Manila",Barangay 160,1.256,PH133901160
National Capital Region,"TONDO I/II, Manila",Barangay 161,1.004,PH133901161
National Capital Region,"TONDO I/II, Manila",Barangay 162,0.556,PH133901162
National Capital Region,"TONDO I/II, Manila",Barangay 163,3.84,PH133901163
National Capital Region,"TONDO I/II, Manila",Barangay 164,1.807,PH133901164
National Capital Region,"TONDO I/II, Manila",Barangay 165,1.014,PH133901165
National Capital Region,"TONDO I/II, Manila",Barangay 166,0.882,PH133901166
National Capital Region,"TONDO I/II, Manila",Barangay 167,0.926,PH133901167
National Capital Region,"TONDO I/II, Manila",Barangay 168,1.387,PH133901168
National Capital Region,"TONDO I/II, Manila",Barangay 169,0.914,PH133901169
National Capital Region,"TONDO I/II, Manila",Barangay 170,1.378,PH133901170
National Capital Region,"TONDO I/II, Manila",Barangay 171,1.124,PH133901171
National Capital Region,"TONDO I/II, Manila",Barangay 172,1.21,PH133901172
National Capital Region,"TONDO I/II, Manila",Barangay 173,1.616,PH133901173
National Capital Region,"TONDO I/II, Manila",Barangay 174,0.715,PH133901174
National Capital Region,"TONDO I/II, Manila",Barangay 175,0.988,PH133901175
National Capital Region,"TONDO I/II, Manila",Barangay 176,1.278,PH133901176
National Capital Region,"TONDO I/II, Manila",Barangay 177,3.308,PH133901177
National Capital Region,"TONDO I/II, Manila",Barangay 178,1.519,PH133901178
National Capital Region,"TONDO I/II, Manila",Barangay 179,1.021,PH133901179
National Capital Region,"TONDO I/II, Manila",Barangay 180,2.145,PH133901180
National Capital Region,"TONDO I/II, Manila",Barangay 181,2.773,PH133901181
National Capital Region,"TONDO I/II, Manila",Barangay 182,3.936,PH133901182
National Capital Region,"TONDO I/II, Manila",Barangay 183,8.424,PH133901183
National Capital Region,"TONDO I/II, Manila",Barangay 184,3.311,PH133901184
National Capital Region,"TONDO I/II, Manila",Barangay 185,3.532,PH133901185
National Capital Region,"TONDO I/II, Manila",Barangay 186,1.678,PH133901186
National Capital Region,"TONDO I/II, Manila",Barangay 187,0.886,PH133901187
National Capital Region,"TONDO I/II, Manila",Barangay 188,0.865,PH133901188
National Capital Region,"TONDO I/II, Manila",Barangay 189,1.481,PH133901189
National Capital Region,"TONDO I/II, Manila",Barangay 190,1.232,PH133901190
National Capital Region,"TONDO I/II, Manila",Barangay 191,0.703,PH133901191
National Capital Region,"TONDO I/II, Manila",Barangay 192,1.878,PH133901192
National Capital Region,"TONDO I/II, Manila",Barangay 193,0.979,PH133901193
National Capital Region,"TONDO I/II, Manila",Barangay 194,0.775,PH133901194
National Capital Region,"TONDO I/II, Manila",Barangay 195,1.401,PH133901195
National Capital Region,"TONDO I/II, Manila",Barangay 196,1.631,PH133901196
National Capital Region,"TONDO I/II, Manila",Barangay 197,0.523,PH133901197
National Capital Region,"TONDO I/II, Manila",Barangay 198,5.032,PH133901198
National Capital Region,"TONDO I/II, Manila",Barangay 199,3.471,PH133901199
National Capital Region,"TONDO I/II, Manila",Barangay 200,1.666,PH133901200
National Capital Region,"TONDO I/II, Manila",Barangay 201,1.152,PH133901201
National Capital Region,"TONDO I/II, Manila",Barangay 202,1.42,PH133901202
National Capital Region,"TONDO I/II, Manila",Barangay 202-A,1.213,PH133901203
National Capital Region,"TONDO I/II, Manila",Barangay 203,2.462,PH133901204
National Capital Region,"TONDO I/II, Manila",Barangay 204,2.684,PH133901205
National Capital Region,"TONDO I/II, Manila",Barangay 205,1.76,PH133901206
National Capital Region,"TONDO I/II, Manila",Barangay 206,2.433,PH133901207
National Capital Region,"TONDO I/II, Manila",Barangay 207,1.541,PH133901208
National Capital Region,"TONDO I/II, Manila",Barangay 208,0.635,PH133901209
National Capital Region,"TONDO I/II, Manila",Barangay 209,5.075,PH133901210
National Capital Region,"TONDO I/II, Manila",Barangay 210,3.212,PH133901211
National Capital Region,"TONDO I/II, Manila",Barangay 211,2.007,PH133901212
National Capital Region,"TONDO I/II, Manila",Barangay 212,2.675,PH133901213
National Capital Region,"TONDO I/II, Manila",Barangay 213,3.231,PH133901214
National Capital Region,"TONDO I/II, Manila",Barangay 214,1.577,PH133901215
National Capital Region,"TONDO I/II, Manila",Barangay 215,3.106,PH133901216
National Capital Region,"TONDO I/II, Manila",Barangay 216,2.431,PH133901217
National Capital Region,"TONDO I/II, Manila",Barangay 217,1.263,PH133901218
National Capital Region,"TONDO I/II, Manila",Barangay 218,0.321,PH133901219
National Capital Region,"TONDO I/II, Manila",Barangay 219,1.08,PH133901220
National Capital Region,"TONDO I/II, Manila",Barangay 220,1.27,PH133901221
National Capital Region,"TONDO I/II, Manila",Barangay 221,3.353,PH133901222
National Capital Region,"TONDO I/II, Manila",Barangay 222,2.04,PH133901223
National Capital Region,"TONDO I/II, Manila",Barangay 223,1.629,PH133901224
National Capital Region,"TONDO I/II, Manila",Barangay 224,1.069,PH133901225
National Capital Region,"TONDO I/II, Manila",Barangay 225,2.419,PH133901226
National Capital Region,"TONDO I/II, Manila",Barangay 226,1.562,PH133901227
National Capital Region,"TONDO I/II, Manila",Barangay 227,1.836,PH133901228
National Capital Region,"TONDO I/II, Manila",Barangay 228,3.01,PH133901229
National Capital Region,"TONDO I/II, Manila",Barangay 229,1.545,PH133901230
National Capital Region,"TONDO I/II, Manila",Barangay 230,2.364,PH133901231
National Capital Region,"TONDO I/II, Manila",Barangay 231,1.888,PH133901232
National Capital Region,"TONDO I/II, Manila",Barangay 232,1.778,PH133901233
National Capital Region,"TONDO I/II, Manila",Barangay 233,0.735,PH133901234
National Capital Region,"TONDO I/II, Manila",Barangay 234,1.945,PH133901235
National Capital Region,"TONDO I/II, Manila",Barangay 235,1.557,PH133901236
National Capital Region,"TONDO I/II, Manila",Barangay 236,0.801,PH133901237
National Capital Region,"TONDO I/II, Manila",Barangay 237,0.452,PH133901238
National Capital Region,"TONDO I/II, Manila",Barangay 238,0.364,PH133901239
National Capital Region,"TONDO I/II, Manila",Barangay 239,1.785,PH133901240
National Capital Region,"TONDO I/II, Manila",Barangay 240,0.056,PH133901241
National Capital Region,"TONDO I/II, Manila",Barangay 241,0.447,PH133901242
National Capital Region,"TONDO I/II, Manila",Barangay 242,0.448,PH133901243
National Capital Region,"TONDO I/II, Manila",Barangay 243,0.436,PH133901244
National Capital Region,"TONDO I/II, Manila",Barangay 244,0.64,PH133901245
National Capital Region,"TONDO I/II, Manila",Barangay 245,0.281,PH133901246
National Capital Region,"TONDO I/II, Manila",Barangay 246,1.254,PH133901247
National Capital Region,"TONDO I/II, Manila",Barangay 247,0.737,PH133901248
National Capital Region,"TONDO I/II, Manila",Barangay 248,0.503,PH133901249
National Capital Region,"TONDO I/II, Manila",Barangay 249,1.61,PH133901250
National Capital Region,"TONDO I/II, Manila",Barangay 250,1.182,PH133901251
National Capital Region,"TONDO I/II, Manila",Barangay 251,1.181,PH133901252
National Capital Region,"TONDO I/II, Manila",Barangay 252,0.91,PH133901253
National Capital Region,"TONDO I/II, Manila",Barangay 253,1.329,PH133901254
National Capital Region,"TONDO I/II, Manila",Barangay 254,3.713,PH133901255
National Capital Region,"TONDO I/II, Manila",Barangay 255,1.086,PH133901256
National Capital Region,"TONDO I/II, Manila",Barangay 256,1.03,PH133901257
National Capital Region,"TONDO I/II, Manila",Barangay 257,1.308,PH133901258
National Capital Region,"TONDO I/II, Manila",Barangay 258,1.181,PH133901259
National Capital Region,"TONDO I/II, Manila",Barangay 259,2.09,PH133901260
National Capital Region,"TONDO I/II, Manila",Barangay 260,1.645,PH133901261
National Capital Region,"TONDO I/II, Manila",Barangay 261,0.735,PH133901262
National Capital Region,"TONDO I/II, Manila",Barangay 262,1.736,PH133901263
National Capital Region,"TONDO I/II, Manila",Barangay 263,1.306,PH133901264
National Capital Region,"TONDO I/II, Manila",Barangay 264,2.443,PH133901265
National Capital Region,"TONDO I/II, Manila",Barangay 265,0.125,PH133901266
National Capital Region,"TONDO I/II, Manila",Barangay 266,1.665,PH133901267
National Capital Region,"TONDO I/II, Manila",Barangay 267,1.952,PH133901268
National Capital Region,"BINONDO, Manila",Barangay 287,2.546,PH133902001
National Capital Region,"BINONDO, Manila",Barangay 288,2.538,PH133902002
National Capital Region,"BINONDO, Manila",Barangay 289,1.017,PH133902003
National Capital Region,"BINONDO, Manila",Barangay 290,1.093,PH133902004
National Capital Region,"BINONDO, Manila",Barangay 291,2.279,PH133902005
National Capital Region,"BINONDO, Manila",Barangay 292,2.846,PH133902006
National Capital Region,"BINONDO, Manila",Barangay 293,3.565,PH133902007
National Capital Region,"BINONDO, Manila",Barangay 294,1.881,PH133902008
National Capital Region,"BINONDO, Manila",Barangay 295,1.531,PH133902009
National Capital Region,"BINONDO, Manila",Barangay 296,1.195,PH133902010
National Capital Region,"QUIAPO, Manila",Barangay 383,2.267,PH133903003
National Capital Region,"QUIAPO, Manila",Barangay 384,3.511,PH133903004
National Capital Region,"QUIAPO, Manila",Barangay 385,3.406,PH133903005
National Capital Region,"QUIAPO, Manila",Barangay 386,1.213,PH133903006
National Capital Region,"QUIAPO, Manila",Barangay 387,2.654,PH133903007
National Capital Region,"QUIAPO, Manila",Barangay 388,1.26,PH133903008
National Capital Region,"QUIAPO, Manila",Barangay 389,1.174,PH133903009
National Capital Region,"QUIAPO, Manila",Barangay 390,0.792,PH133903010
National Capital Region,"QUIAPO, Manila",Barangay 391,2.558,PH133903011
National Capital Region,"QUIAPO, Manila",Barangay 392,0.695,PH133903012
National Capital Region,"QUIAPO, Manila",Barangay 393,4.073,PH133903013
National Capital Region,"QUIAPO, Manila",Barangay 394,1.433,PH133903014
National Capital Region,"QUIAPO, Manila",Barangay 306,1.248,PH133903015
National Capital Region,"QUIAPO, Manila",Barangay 307,1.378,PH133903016
National Capital Region,"QUIAPO, Manila",Barangay 308,1.033,PH133903017
National Capital Region,"QUIAPO, Manila",Barangay 309,1.151,PH133903018
National Capital Region,"SAN NICOLAS, Manila",Barangay 268,0.489,PH133904001
National Capital Region,"SAN NICOLAS, Manila",Barangay 269,0.904,PH133904002
National Capital Region,"SAN NICOLAS, Manila",Barangay 270,0.918,PH133904003
National Capital Region,"SAN NICOLAS, Manila",Barangay 271,0.633,PH133904004
National Capital Region,"SAN NICOLAS, Manila",Barangay 272,1.064,PH133904005
National Capital Region,"SAN NICOLAS, Manila",Barangay 273,0.825,PH133904006
National Capital Region,"SAN NICOLAS, Manila",Barangay 274,1.944,PH133904007
National Capital Region,"SAN NICOLAS, Manila",Barangay 275,19.809,PH133904008
National Capital Region,"SAN NICOLAS, Manila",Barangay 276,2.543,PH133904009
National Capital Region,"SAN NICOLAS, Manila",Barangay 281,2.288,PH133904014
National Capital Region,"SAN NICOLAS, Manila",Barangay 282,2.458,PH133904015
National Capital Region,"SAN NICOLAS, Manila",Barangay 283,1.345,PH133904016
National Capital Region,"SAN NICOLAS, Manila",Barangay 284,0.961,PH133904017
National Capital Region,"SAN NICOLAS, Manila",Barangay 285,2.066,PH133904018
National Capital Region,"SAN NICOLAS, Manila",Barangay 286,4.71,PH133904019
National Capital Region,"SANTA CRUZ, Manila",Barangay 297,2.005,PH133905001
National Capital Region,"SANTA CRUZ, Manila",Barangay 298,1.02,PH133905002
National Capital Region,"SANTA CRUZ, Manila",Barangay 299,1.3,PH133905003
National Capital Region,"SANTA CRUZ, Manila",Barangay 300,0.981,PH133905004
National Capital Region,"SANTA CRUZ, Manila",Barangay 301,0.448,PH133905005
National Capital Region,"SANTA CRUZ, Manila",Barangay 302,0.654,PH133905006
National Capital Region,"SANTA CRUZ, Manila",Barangay 303,0.641,PH133905007
National Capital Region,"SANTA CRUZ, Manila",Barangay 304,0.298,PH133905008
National Capital Region,"SANTA CRUZ, Manila",Barangay 305,0.645,PH133905009
National Capital Region,"SANTA CRUZ, Manila",Barangay 310,13.602,PH133905012
National Capital Region,"SANTA CRUZ, Manila",Barangay 311,2.401,PH133905013
National Capital Region,"SANTA CRUZ, Manila",Barangay 312,3.328,PH133905014
National Capital Region,"SANTA CRUZ, Manila",Barangay 313,2.848,PH133905015
National Capital Region,"SANTA CRUZ, Manila",Barangay 314,2.064,PH133905016
National Capital Region,"SANTA CRUZ, Manila",Barangay 315,1.786,PH133905017
National Capital Region,"SANTA CRUZ, Manila",Barangay 316,0.829,PH133905018
National Capital Region,"SANTA CRUZ, Manila",Barangay 317,1.542,PH133905019
National Capital Region,"SANTA CRUZ, Manila",Barangay 318,0.74,PH133905020
National Capital Region,"SANTA CRUZ, Manila",Barangay 319,1.209,PH133905021
National Capital Region,"SANTA CRUZ, Manila",Barangay 320,1.3,PH133905022
National Capital Region,"SANTA CRUZ, Manila",Barangay 321,0.24,PH133905023
National Capital Region,"SANTA CRUZ, Manila",Barangay 322,0.799,PH133905024
National Capital Region,"SANTA CRUZ, Manila",Barangay 323,1.06,PH133905025
National Capital Region,"SANTA CRUZ, Manila",Barangay 324,0.605,PH133905026
National Capital Region,"SANTA CRUZ, Manila",Barangay 325,0.522,PH133905027
National Capital Region,"SANTA CRUZ, Manila",Barangay 326,0.825,PH133905028
National Capital Region,"SANTA CRUZ, Manila",Barangay 327,1.239,PH133905029
National Capital Region,"SANTA CRUZ, Manila",Barangay 328,0.679,PH133905030
National Capital Region,"SANTA CRUZ, Manila",Barangay 329,0.439,PH133905031
National Capital Region,"SANTA CRUZ, Manila",Barangay 330,2.244,PH133905032
National Capital Region,"SANTA CRUZ, Manila",Barangay 331,0.924,PH133905033
National Capital Region,"SANTA CRUZ, Manila",Barangay 332,0.582,PH133905034
National Capital Region,"SANTA CRUZ, Manila",Barangay 333,0.877,PH133905035
National Capital Region,"SANTA CRUZ, Manila",Barangay 334,1.461,PH133905036
National Capital Region,"SANTA CRUZ, Manila",Barangay 335,1.35,PH133905037
National Capital Region,"SANTA CRUZ, Manila",Barangay 336,2.134,PH133905038
National Capital Region,"SANTA CRUZ, Manila",Barangay 337,1.386,PH133905039
National Capital Region,"SANTA CRUZ, Manila",Barangay 338,1.378,PH133905040
National Capital Region,"SANTA CRUZ, Manila",Barangay 339,1.265,PH133905041
National Capital Region,"SANTA CRUZ, Manila",Barangay 340,2.009,PH133905042
National Capital Region,"SANTA CRUZ, Manila",Barangay 341,1.463,PH133905043
National Capital Region,"SANTA CRUZ, Manila",Barangay 342,1.634,PH133905044
National Capital Region,"SANTA CRUZ, Manila",Barangay 343,2.209,PH133905045
National Capital Region,"SANTA CRUZ, Manila",Barangay 344,0.536,PH133905046
National Capital Region,"SANTA CRUZ, Manila",Barangay 345,1.149,PH133905047
National Capital Region,"SANTA CRUZ, Manila",Barangay 346,1.511,PH133905048
National Capital Region,"SANTA CRUZ, Manila",Barangay 347,1.266,PH133905049
National Capital Region,"SANTA CRUZ, Manila",Barangay 348,1.249,PH133905050
National Capital Region,"SANTA CRUZ, Manila",Barangay 349,0.788,PH133905051
National Capital Region,"SANTA CRUZ, Manila",Barangay 350,6.776,PH133905052
National Capital Region,"SANTA CRUZ, Manila",Barangay 351,3.401,PH133905053
National Capital Region,"SANTA CRUZ, Manila",Barangay 352,1.342,PH133905054
National Capital Region,"SANTA CRUZ, Manila",Barangay 353,2.232,PH133905055
National Capital Region,"SANTA CRUZ, Manila",Barangay 354,1.81,PH133905056
National Capital Region,"SANTA CRUZ, Manila",Barangay 355,0.97,PH133905057
National Capital Region,"SANTA CRUZ, Manila",Barangay 356,0.505,PH133905058
National Capital Region,"SANTA CRUZ, Manila",Barangay 357,0.736,PH133905059
National Capital Region,"SANTA CRUZ, Manila",Barangay 358,1.029,PH133905060
National Capital Region,"SANTA CRUZ, Manila",Barangay 359,0.41,PH133905061
National Capital Region,"SANTA CRUZ, Manila",Barangay 360,0.741,PH133905062
National Capital Region,"SANTA CRUZ, Manila",Barangay 361,0.715,PH133905063
National Capital Region,"SANTA CRUZ, Manila",Barangay 362,0.252,PH133905064
National Capital Region,"SANTA CRUZ, Manila",Barangay 363,0.559,PH133905065
National Capital Region,"SANTA CRUZ, Manila",Barangay 364,1.985,PH133905066
National Capital Region,"SANTA CRUZ, Manila",Barangay 365,1.278,PH133905067
National Capital Region,"SANTA CRUZ, Manila",Barangay 366,1.193,PH133905069
National Capital Region,"SANTA CRUZ, Manila",Barangay 367,1.708,PH133905070
National Capital Region,"SANTA CRUZ, Manila",Barangay 368,1.337,PH133905071
National Capital Region,"SANTA CRUZ, Manila",Barangay 369,1.396,PH133905072
National Capital Region,"SANTA CRUZ, Manila",Barangay 370,0.772,PH133905073
National Capital Region,"SANTA CRUZ, Manila",Barangay 371,0.842,PH133905074
National Capital Region,"SANTA CRUZ, Manila",Barangay 372,4.136,PH133905075
National Capital Region,"SANTA CRUZ, Manila",Barangay 373,3.788,PH133905076
